brid	AVERAGE
Brahy.S06G0072800	-3.44730344
Brahy.D01G0986500	-1.663349726
Brahy.S09G0146200	-2.223695417
Brahy.S05G0180600	3.488145263
Brahy.S04G0222700	-4.48157219
Brahy.S09G0239100	3.528677828
Brahy.D01G0238200	-1.786949725
Brahy.D03G0228300	-4.252419131
Brahy.D01G0870100	-1.435071086
Brahy.D03G0458400	-1.818409625
Brahy.S10G0214600	3.034352819
Brahy.D05G0161700	1.776858294
Brahy.D04G0516400	-2.419467884
Brahy.D05G0209400	-1.863450932
Brahy.D01G0107000	-1.700804312
Brahy.D02G0186100	2.004413075
Brahy.S06G0232600	-2.448511324
Brahy.D01G0603000	-1.595181189
Brahy.D05G0235000	3.207503515
Brahy.D03G0042900	-2.08536009
Brahy.D04G0596300	2.814606798
Brahy.D01G0454900	2.052204002
Brahy.S09G0008000	3.638796628
Brahy.S07G0009600	-2.169036562
Brahy.S07G0072500	-1.687080198
Brahy.S06G0203400	-1.573135894
Brahy.D04G0637400	-2.83333241
Brahy.D01G0603100	-1.719460448
Brahy.S09G0134400	-1.81239941
Brahy.D01G1031800	-3.609833158
Brahy.D02G0452300	-4.228365187
Brahy.S02G0137800	-5.17599176
Brahy.S10G0102800	-1.671480904
Brahy.S01G0061900	-2.066581723
Brahy.D03G0482900	-1.616877496
Brahy.D04G0363000	-3.449701942
Brahy.S09G0274800	-2.533268538
Brahy.D02G0801000	-2.714891854
Brahy.S03G0215200	-2.93216919
Brahy.D01G0961100	-1.931125634
Brahy.S02G0148400	-4.658252753
Brahy.D01G0276000	-2.192675045
Brahy.D04G0417200	-1.474005277
Brahy.S10G0060700	-3.06838299
Brahy.D01G0168300	-1.828572682
Brahy.S02G0211600	2.69968235
Brahy.D01G0148900	-3.599037699
Brahy.D02G0228800	-3.986517709
Brahy.S04G0102600	-1.820763879
Brahy.S06G0054900	-2.648341714
Brahy.S10G0114200	2.293921714
Brahy.D03G0372600	1.739314899
Brahy.S03G0255600	2.691709479
Brahy.S02G0068400	-2.756756816
Brahy.D04G0213300	1.963421836
Brahy.D03G0023500	-2.784826529
Brahy.S09G0102300	2.868150251
Brahy.S02G0221700	-4.286704759
Brahy.S01G0176700	-1.964986757
Brahy.D01G1059300	-2.754277923
Brahy.D01G0820500	-1.673604851
Brahy.D01G0262800	1.695135558
Brahy.D04G0222500	-1.996155431
Brahy.S04G0348100	-4.787753724
Brahy.S01G0071100	0.495970891
Brahy.D01G0609000	-1.851373168
Brahy.S08G0021800	-3.543950641
Brahy.S01G0385700	-0.148565319
Brahy.D03G0150000	-2.5380318
Brahy.D03G0236200	2.56438245
Brahy.S08G0105000	1.635268771
Brahy.S04G0308300	2.415450919
Brahy.S02G0129100	-2.496554287
Brahy.S05G0099000	3.908249755
Brahy.S08G0199500	2.434889435
Brahy.S04G0257500	-1.586912753
Brahy.S02G0027000	-3.264613892
Brahy.S09G0189000	5.431041866
Brahy.D01G0297800	-1.87165351
Brahy.D05G0025800	-1.866696661
Brahy.S03G0250100	1.831913751
Brahy.S01G0218800	-2.811887633
Brahy.S10G0094300	-2.522007441
Brahy.D05G0312900	1.813282193
Brahy.S03G0226200	-1.469925095
Brahy.S02G0024200	-2.522777532
Brahy.D03G0127300	-2.186374402
Brahy.D01G0899100	-7.78442957
Brahy.S08G0042200	2.132593636
Brahy.S07G0055600	-2.110334532
Brahy.D03G0375900	-2.703977794
Brahy.D02G0239100	1.780879523
Brahy.D03G0491000	2.044976668
Brahy.D03G0831900	-3.08674251
Brahy.S04G0068500	-1.961395388
Brahy.D04G0179000	-1.641729789
Brahy.S01G0290400	-1.549842239
Brahy.D05G0235400	-2.768195464
Brahy.D05G0241400	-2.346487115
Brahy.S04G0025000	-2.430802636
Brahy.S02G0179100	-1.356196136
Brahy.S06G0070800	-2.014348644
Brahy.S02G0341600	-1.462382413
Brahy.S05G0031600	-2.145805599
Brahy.D02G0780700	-2.86964561
Brahy.S01G0411500	-1.859619559
Brahy.D05G0266900	-1.489129002
Brahy.S08G0128200	-3.940137168
Brahy.S08G0222300	-1.689636353
Brahy.S02G0212100	-2.841562855
Brahy.S01G0048000	2.201460387
Brahy.D02G0726500	-3.149344681
Brahy.D02G0173100	-2.945846893
Brahy.S05G0288500	-1.646541229
Brahy.S07G0181600	-1.739564023
Brahy.D03G0577600	-2.735644638
Brahy.S05G0208300	-2.572856955
Brahy.D02G0655700	-3.267963322
Brahy.S08G0238100	-2.955556333
Brahy.S08G0246600	-3.847357838
Brahy.D01G0395700	3.802614461
Brahy.D02G0277500	-2.16677447
Brahy.D02G0772600	-2.136418844
Brahy.D05G0051900	-2.217523663
Brahy.D01G0742500	-1.745309881
Brahy.D01G0913100	3.174904306
Brahy.D01G0168700	-2.631360757
