atid	AVERAGE
AT1G24130	1.515835506
AT1G24160	-1.6590383359999998
AT1G24470	-3.0618465130000003
AT1G24540	-2.833311549
AT1G24625	1.441417986
AT1G25550	-1.964143137
AT1G26270	1.307708254
AT1G26570	-1.242242377
AT1G26820	-3.239194313
AT1G27040	1.301607718
AT1G27480	1.422736746
AT1G27760	-1.463574678
AT1G28050	-3.143230804
AT1G28100	-2.069872068
AT1G28150	-1.221072277
AT1G28190	-2.356666674
AT1G28360	-1.588417711
AT1G28480	-2.1324109669999998
AT1G28600	-3.4486268275
AT1G28960	-1.616035643
AT1G29120	1.431380444
AT1G29195	2.692706774
AT1G29230	-1.4579273240000001
AT1G29450	3.172353495
AT1G29790	-3.7391923160000005
AT1G29860	2.498154181
AT1G29930	-1.9900134980000002
AT1G30100	-6.697474241
AT1G30360	1.745564722
AT1G30690	5.891390991000001
AT1G30820	-2.407911805
AT1G30900	1.992293759
AT1G31220	1.057882121
AT1G31812	-1.411442603
AT1G32170	-1.9750625345000001
AT1G32230	-1.262900731
AT1G32400	-1.315731587
AT1G32450	-2.78888465
AT1G32490	2.291816305
AT1G32560	-4.911773601
AT1G32780	-2.18388987
AT1G32850	-1.399192622
AT1G32900	-2.509666963
AT1G32940	2.601201573
AT1G33090	-1.403088373
AT1G33260	-2.0397885615
AT1G33265	1.510876115
AT1G33340	2.287103809
AT1G33540	0.3350699266666668
AT1G34300	1.6113233165
AT1G34350	-2.098297037
AT1G34355	-2.078035966
AT1G34580	1.1514953695
AT1G34760	-1.582721345
AT1G35180	-1.5496483719999998
AT1G36070	-2.300896461
AT1G36280	-1.274270995
AT1G37130	1.21168757
AT1G42480	2.220687683
AT1G42540	-1.783975174
AT1G42550	1.7308643080000001
AT1G43710	1.40579225
AT1G44800	2.8070899810000003
AT1G45145	3.343547516
AT1G45616	4.3314477175
AT1G45688	-1.7527427869999999
AT1G47380	1.594484015
AT1G47480	0.529709671
AT1G47490	-1.457391417
AT1G47510	-2.311173904
AT1G47530	2.2246065369999997
AT1G47560	1.3476285780000001
AT1G47670	-1.197428683
AT1G47890	2.013537697
AT1G48130	-9.379272957000001
AT1G48320	-1.303996299
AT1G48370	1.72043714
AT1G48410	-0.37655352349999993
AT1G48470	2.311665342
AT1G48600	-1.0886450029999999
AT1G48860	-1.1757667059999999
AT1G48930	-1.8178350975000002
AT1G48960	-2.302759677
AT1G49380	1.261718734
AT1G49620	-3.5400446785
AT1G49720	-1.934208312
AT1G49740	-6.005956461
AT1G49840	-1.830012073
AT1G50180	1.24334397
