brid	AVERAGE
Brast01G230700	2.373990441
Brast02G039900	-2.809729341
Brast08G014600	-0.358856599
Brast03G100900	-1.468769233
Brast02G095300	-1.754422251
Brast05G099200	-4.156417889
Brast07G046000	-2.176694667
Brast07G037300	1.431380444
Brast02G151500	-1.617545102
Brast02G017000	-2.630423771
Brast03G250100	-1.844951566
Brast02G253600	-1.749192776
Brast04G247400	-1.458895638
Brast04G244300	-2.199038402
Brast01G218600	1.207894491
Brast07G013100	-0.959763559
Brast09G263100	-1.899428717
Brast05G202900	1.505317181
Brast05G015200	1.520216073
Brast09G131300	-1.520083295
Brast02G068500	1.519704868
Brast01G045000	-1.672234579
Brast04G277400	-2.656544202
Brast01G070800	-1.464726238
Brast09G045300	-1.642892938
Brast04G273600	-1.649161733
Brast07G031500	-1.546943554
Brast03G239600	-2.255845756
Brast01G391600	-3.063003804
Brast09G122100	-2.049921168
Brast05G192000	-2.298379377
Brast06G009100	-1.74769025
Brast02G003900	-2.332919373
Brast03G195200	4.426189722
Brast05G065000	2.95453475
Brast09G194500	-2.154627439
Brast01G044300	1.42008057
Brast01G076200	-1.213415984
Brast10G035200	1.441417986
Brast06G061400	1.329478735
Brast06G119300	-1.333621278
Brast04G017400	-2.427247572
Brast05G208200	-1.194893524
Brast07G066000	1.58955618
Brast07G082500	-1.802465275
Brast02G232600	-2.486665182
Brast09G169200	-1.973237624
Brast04G046600	-1.499683233
Brast07G219800	1.630142713
Brast01G396200	-3.624152868
Brast04G107200	0.26539852
Brast05G246500	1.342513631
Brast05G114800	-2.570064709
Brast02G067700	-1.889129928
Brast07G246300	-2.591030171
Brast05G227700	-1.633007412
Brast08G214800	-2.598794448
Brast01G050700	-2.32129465
Brast01G289900	-2.136259413
Brast10G151000	-1.582721345
Brast09G149700	-1.476897648
Brast01G003200	-2.012330819
Brast02G079300	-1.611757915
Brast10G158200	-2.175181612
Brast02G152800	-3.256069949
Brast08G108000	2.48470707
Brast04G261100	1.377558639
Brast10G082600	-2.67108226
Brast05G166000	-2.955632462
Brast01G327400	-3.039461174
Brast05G179500	-1.661321885
Brast02G192300	-3.348345135
Brast09G003400	-1.643793133
Brast10G070300	1.694535907
Brast04G260600	1.53475711
Brast09G164300	-2.756985972
Brast05G145600	-2.763764317
Brast04G207200	-2.585890384
Brast03G287800	-1.527720928
Brast03G291700	1.482608106
Brast02G194000	-1.87706066
Brast09G117000	-1.839873848
Brast03G287600	-3.463591989
Brast09G223800	2.326669181
Brast04G214500	1.609757578
Brast07G120900	-2.169002858
Brast04G161400	2.380984169
Brast03G174100	-4.114290003
Brast05G269700	2.266755814
Brast10G194700	-2.313241164
Brast03G092800	1.59309363
Brast01G288400	-1.430140407
Brast08G114900	-1.416314356
Brast09G189700	-1.429713563
Brast07G229800	1.428384997
Brast07G027300	-1.726542723
Brast01G345700	-1.417028235
Brast04G262200	-1.574572575
Brast02G085800	-1.447440134
Brast02G207500	2.027035808
Brast07G079300	-1.31165036
Brast01G131800	-0.111262234
Brast01G218900	1.510020063
Brast06G025800	1.615112696
Brast01G200300	3.969804774
Brast04G182400	1.894933002
Brast02G267100	1.386702883
Brast07G088400	-3.011389929
Brast04G262900	1.449969666
Brast10G025400	2.51307751
Brast01G039100	1.790442451
Brast05G115400	-1.980554671
Brast09G147200	1.62508536
Brast08G055900	-1.866995979
Brast02G289000	-2.593127865
Brast09G051000	2.222737775
Brast01G088100	-1.973462731
Brast02G227300	1.458101837
Brast02G308500	-0.431761628
Brast05G155800	-1.308915758
Brast01G155400	-1.675483562
Brast04G290300	1.446079187
Brast08G051000	-1.322286708
Brast01G108500	1.319268231
Brast05G073300	-2.56800059
Brast01G275900	-1.668268624
Brast02G236500	-1.638523133
Brast02G031600	2.521552245
Brast02G325300	2.31628051
Brast01G146200	1.349174945
Brast04G130500	1.288703551
Brast01G056700	-1.601073536
Brast08G222200	-2.67535924
Brast10G046700	-4.31377615
Brast04G121900	-3.079577556
Brast07G094100	-1.962584061
Brast01G061000	1.813417777
Brast01G224500	-1.502591915
Brast07G101700	-2.58808814
Brast04G285800	-2.773583682
Brast10G071700	0.153773204
Brast05G204700	2.832915963
Brast07G242900	-1.925060395
Brast01G074400	-1.460136198
Brast06G162100	-1.807188764
Brast02G159100	-1.274270995
Brast06G235600	1.980272396
Brast04G007400	-1.88574147
Brast07G098700	-1.883592108
Brast04G095800	-3.006872583
