bhdid	bsid
Brahy.D01G0016300	Brast02G382900
Brahy.D01G0016400	Brast02G382800
Brahy.D01G0016500	Brast02G382700
Brahy.D01G0016600	Brast02G382600
Brahy.D01G0016700	Brast02G382500
Brahy.D01G0017000	Brast02G382400
Brahy.D01G0017400	Brast02G382000
Brahy.D01G0017600	Brast02G381900
Brahy.D01G0017700	Brast02G381700
Brahy.D01G0017900	Brast02G381600
Brahy.D01G0018000	Brast02G381400
Brahy.D01G0018100	Brast02G381300
Brahy.D01G0018200	Brast02G381200
Brahy.D01G0018300	Brast02G381100
Brahy.D01G0018500	Brast02G380900
Brahy.D01G0018600	Brast02G380800
Brahy.D01G0018700	Brast02G380700
Brahy.D01G0018800	Brast02G380600
Brahy.D01G0018900	Brast02G380500
Brahy.D01G0019000	Brast02G380400
Brahy.D01G0019100	Brast02G380300
Brahy.D01G0019700	Brast02G380000
Brahy.D01G0020100	Brast02G379900
Brahy.D01G0020200	Brast02G379800
Brahy.D01G0020500	Brast02G379700
Brahy.D01G0020600	Brast02G379600
Brahy.D01G0020700	Brast02G379500
Brahy.D01G0020800	Brast02G379400
Brahy.D01G0020900	Brast02G379300
Brahy.D01G0021600	Brast02G379000
Brahy.D01G0022000	Brast02G378800
Brahy.D01G0022100	Brast02G378700
Brahy.D01G0022200	Brast02G378600
Brahy.D01G0022300	Brast02G378500
Brahy.D01G0022600	Brast02G378400
Brahy.D01G0022700	Brast02G378300
Brahy.D01G0022900	Brast02G378100
Brahy.D01G0023100	Brast02G377900
Brahy.D01G0023600	Brast02G377700
Brahy.D01G0023700	Brast02G377600
Brahy.D01G0023800	Brast02G377500
Brahy.D01G0023900	Brast02G377400
Brahy.D01G0024200	Brast02G377300
Brahy.D01G0024300	Brast02G377200
Brahy.D01G0024500	Brast02G377100
Brahy.D01G0024600	Brast02G377000
Brahy.D01G0024700	Brast02G376900
Brahy.D01G0025600	Brast02G376800
Brahy.D01G0025700	Brast02G376700
Brahy.D01G0025800	Brast02G376600
Brahy.D01G0025900	Brast02G376500
Brahy.D01G0026000	Brast02G376400
Brahy.D01G0026100	Brast02G376300
Brahy.D01G0026200	Brast02G376200
Brahy.D01G0026300	Brast02G376100
Brahy.D01G0026400	Brast02G376000
Brahy.D01G0026500	Brast02G375900
Brahy.D01G0026600	Brast02G375800
Brahy.D01G0026800	Brast02G375700
Brahy.D01G0027400	Brast02G375500
Brahy.D01G0027500	Brast02G375400
Brahy.D01G0027800	Brast02G375300
Brahy.D01G0028000	Brast02G375200
Brahy.D01G0028100	Brast02G375100
Brahy.D01G0030300	Brast02G372900
Brahy.D01G0030500	Brast02G372700
Brahy.D01G0030600	Brast02G372600
Brahy.D01G0030700	Brast02G372300
Brahy.D01G0031000	Brast02G372200
Brahy.D01G0031200	Brast02G372100
Brahy.D01G0031300	Brast02G372000
Brahy.D01G0031400	Brast02G371900
Brahy.D01G0031500	Brast02G371800
Brahy.D01G0031700	Brast02G371700
Brahy.D01G0031800	Brast02G371600
Brahy.D01G0031900	Brast02G371500
Brahy.D01G0032100	Brast02G371300
Brahy.D01G0032400	Brast02G370800
Brahy.D01G0032600	Brast02G370700
Brahy.D01G0032700	Brast02G370600
Brahy.D01G0032800	Brast02G370500
Brahy.D01G0032900	Brast02G370300
Brahy.D01G0035300	Brast02G368200
Brahy.D01G0035400	Brast02G368100
Brahy.D01G0035500	Brast02G368000
Brahy.D01G0035600	Brast02G367900
Brahy.D01G0035700	Brast02G367800
Brahy.D01G0035800	Brast02G367700
Brahy.D01G0036000	Brast02G367600
Brahy.D01G0036300	Brast02G367400
Brahy.D01G0036400	Brast02G367300
Brahy.D01G0036500	Brast02G367200
Brahy.D01G0036700	Brast02G367000
Brahy.D01G0036900	Brast02G366900
Brahy.D01G0037000	Brast02G366800
Brahy.D01G0037100	Brast02G366700
Brahy.D01G0037300	Brast02G366600
Brahy.D01G0037400	Brast02G366500
Brahy.D01G0037900	Brast02G366200
Brahy.D01G0038000	Brast02G366100
Brahy.D01G0038100	Brast02G366000
Brahy.D01G0038300	Brast02G365800
Brahy.D01G0038400	Brast02G365700
Brahy.D01G0038500	Brast02G365600
Brahy.D01G0038600	Brast02G365500
Brahy.D01G0038700	Brast02G365400
Brahy.D01G0038800	Brast02G365300
Brahy.D01G0038900	Brast02G365200
Brahy.D01G0039200	Brast02G364500
Brahy.D01G0039300	Brast02G364400
Brahy.D01G0039400	Brast02G364300
Brahy.D01G0039500	Brast02G364200
Brahy.D01G0039700	Brast02G363900
Brahy.D01G0039900	Brast02G363600
Brahy.D01G0040200	Brast02G363000
Brahy.D01G0040300	Brast02G362900
Brahy.D01G0040500	Brast02G362800
Brahy.D01G0040600	Brast02G362700
Brahy.D01G0040700	Brast02G362600
Brahy.D01G0040800	Brast02G362500
Brahy.D01G0040900	Brast02G362400
Brahy.D01G0041000	Brast02G362300
Brahy.D01G0041100	Brast02G362200
Brahy.D01G0041300	Brast02G362100
Brahy.D01G0041400	Brast02G362000
