	bhsid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
693	Brahy.S02G0126200	0.000632377	0.000695337	0.909453258	Brast02G120000			
694	Brahy.S02G0126700	0.000728842	0.005188793	0.140464634	Brast02G120600			
695	Brahy.S02G0128900	0.000861268	0.002494077	0.345325355	Brast02G122800			
696	Brahy.S02G0135400	0.001058417	0.004926418	0.21484512				
697	Brahy.S02G0139500	0.000123049	0.000418095	0.285044014	Brast02G132900			
698	Brahy.S02G0140000	0.001983997	0.001089191	1.821532812	Brast02G133500			
699	Brahy.S02G0144100	2.7e-05	7.84e-05	0.344096219	Brast02G137400			
700	Brahy.S02G0144400	0.000102645	0.001076979	0.09530852	Brast02G137700			
701	Brahy.S02G0146300	0.000642062	0.00246244	0.260742034	Brast02G139500	0.002929006	0.010072232	0.290800099
702	Brahy.S02G0147700	0.008126437	0.002228713	3.646246728	Brast02G141000			
703	Brahy.S02G0148100	0.022766533	0.015075168	1.510200898	Brast02G141400			
704	Brahy.S02G0150400	0.001115835	0.0012327244999999	1.026334508	Brast02G143600			
705	Brahy.S02G0151100	0.006135289	0.007948993	0.771832226	Brast02G144300			
706	Brahy.S02G0153000	0.001062538	0.002943152	0.3642680945	Brast02G146100	0.001150705	0.0038096665	0.2797913895
707	Brahy.S02G0155000	0.003180548	0.006005348	0.5442603835	Brast02G148100			
708	Brahy.S02G0166400	0.006541461	0.003596943	1.818617025				
709	Brahy.S02G0169300	0.000934808	0.001379368	0.67770773	Brast02G161100			
710	Brahy.S02G0170300	0.002226015	0.003902016	0.570478098	Brast02G162100			
711	Brahy.S02G0175600	0.001492411	0.002767891	0.539186945	Brast02G167000			
712	Brahy.S02G0175700	0.000412584	0.000475983	0.866804195	Brast02G167100			
713	Brahy.S02G0184400	0.00015854	0.000113328	1.398943965	Brast02G175300			
714	Brahy.S02G0189900	0.00010595	0.003657533	0.028967606	Brast02G180500	0.000228498	0.000819519	0.278820335
715	Brahy.S02G0191400	0.0065993895	0.0064522545	1.099232149	Brast02G182100			
716	Brahy.S02G0192700	0.005470559	0.004658268	1.174376167	Brast02G183300			
717	Brahy.S02G0196400	0.0009217	0.00106972	0.861627342	Brast02G186600			
718	Brahy.S02G0200700	0.002394557	0.0002289335	10.8558451885	Brast02G190600			
719	Brahy.S02G0204700	0.000284376	0.001913144	0.148643173	Brast02G194500	0.003909941	0.002758058	1.417642877
720	Brahy.S02G0205800	0.006140169	0.0036858159999999	1.684247091	Brast02G195500			
721	Brahy.S02G0213200	0.000410572	0.0008219165	0.473913014	Brast02G202900	0.0025255535	0.00287576	1.352804325
722	Brahy.S02G0216600	0.000904145	0.002870029	0.315029933	Brast02G206300	0.000141859	0.001390354	0.102030839
