bhsid	bsid
Brahy.S01G0031500	Brast01G028700
Brahy.S01G0031600	Brast01G028800
Brahy.S01G0031800	Brast01G028900
Brahy.S01G0031900	Brast01G029000
Brahy.S01G0032000	Brast01G029100
Brahy.S01G0032100	Brast01G029200
Brahy.S01G0032200	Brast01G029300
Brahy.S01G0032300	Brast01G029400
Brahy.S01G0032400	Brast01G029500
Brahy.S01G0032500	Brast01G029600
Brahy.S01G0032600	Brast01G029700
Brahy.S01G0032700	Brast01G029800
Brahy.S01G0032800	Brast01G029900
Brahy.S01G0032900	Brast01G030000
Brahy.S01G0033000	Brast01G030100
Brahy.S01G0033100	Brast01G030200
Brahy.S01G0033200	Brast01G030300
Brahy.S01G0033300	Brast01G030400
Brahy.S01G0033400	Brast01G030500
Brahy.S01G0033500	Brast01G030600
Brahy.S01G0033600	Brast01G030700
Brahy.S01G0033700	Brast01G030800
Brahy.S01G0033800	Brast01G030900
Brahy.S01G0033900	Brast01G031000
Brahy.S01G0034000	Brast01G031100
Brahy.S01G0034100	Brast01G031200
Brahy.S01G0034200	Brast01G031300
Brahy.S01G0034300	Brast01G031400
Brahy.S01G0034600	Brast01G031600
Brahy.S01G0034700	Brast01G031700
Brahy.S01G0034900	Brast01G031800
Brahy.S01G0035100	Brast01G032000
Brahy.S01G0035300	Brast01G032200
Brahy.S01G0035400	Brast01G032300
Brahy.S01G0035500	Brast01G032400
Brahy.S01G0035600	Brast01G032500
Brahy.S01G0035700	Brast01G032600
Brahy.S01G0035800	Brast01G032700
Brahy.S01G0036000	Brast01G032900
Brahy.S01G0036100	Brast01G033000
Brahy.S01G0036200	Brast01G033100
Brahy.S01G0036500	Brast01G033400
Brahy.S01G0036600	Brast01G033500
Brahy.S01G0036700	Brast01G033600
Brahy.S01G0036800	Brast01G033700
Brahy.S01G0036900	Brast01G033800
Brahy.S01G0037000	Brast01G033900
Brahy.S01G0037100	Brast01G034000
Brahy.S01G0037200	Brast01G034100
Brahy.S01G0037300	Brast01G034200
Brahy.S01G0037400	Brast01G034300
Brahy.S01G0037600	Brast01G034500
Brahy.S01G0037700	Brast01G034600
Brahy.S01G0037800	Brast01G034700
Brahy.S01G0037900	Brast01G034800
Brahy.S01G0038000	Brast01G034900
Brahy.S01G0038100	Brast01G035000
Brahy.S01G0038200	Brast01G035100
Brahy.S01G0038400	Brast01G035200
Brahy.S01G0038500	Brast01G035300
Brahy.S01G0038600	Brast01G035400
Brahy.S01G0038700	Brast01G035500
Brahy.S01G0038800	Brast01G035600
Brahy.S01G0038900	Brast01G035700
Brahy.S01G0039000	Brast01G035800
Brahy.S01G0039100	Brast01G035900
Brahy.S01G0039200	Brast01G036000
Brahy.S01G0039300	Brast01G036100
Brahy.S01G0039400	Brast01G036200
Brahy.S01G0039500	Brast01G036300
Brahy.S01G0039600	Brast01G036400
Brahy.S01G0039800	Brast01G036500
Brahy.S01G0039900	Brast01G036600
Brahy.S01G0040000	Brast01G036700
Brahy.S01G0040100	Brast01G036800
Brahy.S01G0040200	Brast01G036900
Brahy.S01G0040300	Brast01G037000
Brahy.S01G0040400	Brast01G037100
Brahy.S01G0040500	Brast01G037200
Brahy.S01G0040600	Brast01G037300
Brahy.S01G0040700	Brast01G037400
Brahy.S01G0040800	Brast01G037500
Brahy.S01G0040900	Brast01G037600
Brahy.S01G0041000	Brast01G037700
Brahy.S01G0041100	Brast01G037800
Brahy.S01G0041200	Brast01G037900
Brahy.S01G0041300	Brast01G038000
Brahy.S01G0041400	Brast01G038100
Brahy.S01G0041500	Brast01G038200
Brahy.S01G0041600	Brast01G038300
Brahy.S01G0041700	Brast01G038400
Brahy.S01G0041800	Brast01G038500
Brahy.S01G0042000	Brast01G038700
Brahy.S01G0042100	Brast01G038800
Brahy.S01G0042200	Brast01G038900
Brahy.S01G0042300	Brast01G039000
Brahy.S01G0042400	Brast01G039100
