	bhdid	piN_x	piS_x	pin/pis_x	bsid	piN_y	piS_y	pin/pis_y
466	Brahy.D04G0639700	0.007868634	0.00437809	1.797275613	Brast05G294400			
467	Brahy.D04G0644600	0.003548411	0.002554082	1.389309813	Brast05G297900	0.0011914044999999	0.0027256875	0.4368112779999999
468	Brahy.D04G0645400	0.000279374	0.002028373	0.137733113	Brast05G298500			
469	Brahy.D05G0004300	0.000196072	0.0036498275	0.0971874165	Brast09G003800			
470	Brahy.D05G0006900	8.37e-05	0.000118613	0.706071405				
471	Brahy.D05G0008500	0.002521851	0.002974929	0.847701424	Brast09G006700	0.005729952	0.005771235	0.992846792
472	Brahy.D05G0019000	0.000152758	0.001349714	0.111904652				
473	Brahy.D05G0026400	0.000488857	0.000475462	1.028174257				
474	Brahy.D05G0028700	0.000100984	0.000285476	0.353737661				
475	Brahy.D05G0032700	0.001061238	0.00159489	0.665398934	Brast09G021300	0.001105146	0.005386562	0.205167287
476	Brahy.D05G0034300	0.0003875644999999	0.000510762	0.5651392195	Brast09G023300			
477	Brahy.D05G0036300	9.52e-05	0.000228137	0.417268242	Brast09G025100			
478	Brahy.D05G0043400	0.000356109	0.002172727	0.163899467	Brast09G028900	0.000468104	0.000211329	2.215055227
479	Brahy.D05G0050600	0.004781708	0.005617754	0.851178033	Brast09G032900	0.003242608	0.005131374	0.63191805
480	Brahy.D05G0051100	5.52e-05	0.0002531885	0.22952668				
481	Brahy.D05G0051900	0.000800416	0.001598314	0.500787503	Brast09G033700	0.000227108	0.000864254	0.262779426
482	Brahy.D05G0071900	0.002692777	0.001932138	1.39367711	Brast09G044600			
483	Brahy.D05G0080000	0.000113044	0.000888203	0.127273158				
484	Brahy.D05G0089000	0.0002890705	0.0008984665	0.321737762	Brast09G048300	0.000120277	0.000376145	0.319763055
485	Brahy.D05G0098800	0.00187255425	0.00820466375	0.5171053402500001				
486	Brahy.D05G0103900	0.000127248	0.000353984	0.359474041	Brast09G064200			
487	Brahy.D05G0110200	0.003262885	0.00327424825	1.23382077825	Brast09G067600			
488	Brahy.D05G0110400	0.00066108	0.000675828	0.978177588	Brast09G067800			
489	Brahy.D05G0111100	0.0017699425	0.0015072434999999	1.2825684389999998	Brast09G068400			
490	Brahy.D05G0114600	0.002389874	0.006248625	0.3918224194999999				
491	Brahy.D05G0114900	0.000199189	0.000398537	0.499800124	Brast09G070700	0.00353472	0.004882836	0.72390716
492	Brahy.D05G0116900	0.002827189	0.006972319	0.405487604	Brast09G072300			
493	Brahy.D05G0124300	0.0012800735	0.0017460705	0.75463205425	Brast09G077900			
494	Brahy.D05G0127400	0.0008391705	0.001011098	0.960947865	Brast09G080900			
495	Brahy.D05G0136900	7.21e-05	0.000346545	0.208047945	Brast09G088800			
496	Brahy.D05G0143900	0.00039126125	0.0022686607499999	0.19874263175	Brast09G094400	5.44e-05	0.000237835	0.228817618
497	Brahy.D05G0148900	0.000669716	0.0021258616666666	0.3244641326666666	Brast09G097000			
498	Brahy.D05G0151900	0.000507924	0.006635072	0.076551332	Brast09G099500			
499	Brahy.D05G0155800	0.018853908	0.021621697	0.871990199	Brast09G102700	0.0021658633333333	0.0085898946666666	0.380950064
500	Brahy.D05G0160100	0.0082080715	0.00724236275	1.1547667045	Brast09G106000			
501	Brahy.D05G0161000	0.00073707375	0.001278469	1.12941849025	Brast09G107000			
502	Brahy.D05G0170700	0.0009830495	0.001219202	0.9195430665	Brast09G115500			
503	Brahy.D05G0180500	6.45e-05	0.000179905	0.358377424				
504	Brahy.D05G0184300	0.000666333	0.001875293	0.355322339	Brast09G125500			
505	Brahy.D05G0198900	0.000580782	0.0008145165	0.7285124355	Brast09G137200			
506	Brahy.D05G0204100	0.000585144	0.003680107	0.159001987	Brast09G140900			
507	Brahy.D05G0206600	0.001147455	0.0024446696666666	0.4648420096666667	Brast09G142600			
508	Brahy.D05G0210400	0.0034338436666666	0.003465461	0.9846552803333334	Brast09G144000			
509	Brahy.D05G0210500	0.00593692575	0.0084960835	0.6976094315	Brast09G144100			
510	Brahy.D05G0211500	7.677500000000001e-05	0.001541235	0.061635965	Brast09G144800			
511	Brahy.D05G0212100	0.000799891	0.000503943	1.587264275	Brast09G145300			
512	Brahy.D05G0213100	0.006202134	0.008605449	0.720721724	Brast09G146200			
513	Brahy.D05G0222200	0.0004847204999999	0.001590958	0.271174561				
514	Brahy.D05G0230700	0.00782089975	0.010171167	0.76989138825	Brast09G159900			
515	Brahy.D05G0244000	0.00491345875	0.00737397075	0.6923755659999999	Brast09G170900	0.0021021183333333	0.0020640336666666	0.97042006
516	Brahy.D05G0247500	0.000264054	0.0004427005	0.5633544835	Brast09G173700	0.000125069	0.000860042	0.145422407
517	Brahy.D05G0252800	9.35e-05	0.000739603	0.126353646	Brast09G178200			
518	Brahy.D05G0253800	1.93e-05	0.000559643	0.034499945	Brast09G179200	9.6e-05	8.56e-05	1.121712694
519	Brahy.D05G0255800	0.0021294614999999	0.0030026124999999	1.054657815	Brast09G181200	0.002569557	0.005636614	0.455868846
520	Brahy.D05G0258900	0.000254136	0.000766754	0.331443631	Brast09G184000	0.0017798326666666	0.002472696	0.6883030546666666
521	Brahy.D05G0266700	0.015149867	0.014612067	1.0440268655	Brast09G189500			
522	Brahy.D05G0269600	0.000101093	0.000247164	0.409013327	Brast09G190900			
523	Brahy.D05G0274100	0.000785248	0.001119824	0.701224931	Brast09G194100			
524	Brahy.D05G0285500	0.00242425475	0.001969153	1.23528077925	Brast09G203800			
525	Brahy.D05G0287900	0.0010211943333333	0.0005748756666666	1.7880276606666663	Brast09G206100			
526	Brahy.D05G0288800	0.00120404	0.0042603425	0.2954355045	Brast09G206600			
527	Brahy.D05G0289300	0.0020878942	0.0011820938	2.475739597	Brast09G207000			
528	Brahy.D05G0294700	0.000320348	0.0027822695	0.1137657739999999	Brast09G212200			
529	Brahy.D05G0305700	0.000740733	0.0008283749999999	0.9150480242	Brast09G221400	0.000690576	0.010018943	0.068927073
530	Brahy.D05G0306700	0.000225301	0.001052045	0.2099385799999999				
531	Brahy.D05G0307900	0.000172878	0.000136132	1.269930018	Brast09G222700	0.000343705	0.002625799	0.130895378
532	Brahy.D05G0311400	0.001107357	0.0077595725	0.158692801	Brast09G226400			
533	Brahy.D05G0311800	0.009871297	0.005388011	1.832085499	Brast09G226700			
534	Brahy.D05G0315300	0.000140585	0.000384165	0.365950142	Brast09G229800	3.8e-05	3.54e-05	1.073508874
535	Brahy.D05G0316200	0.001388833	0.000158769	8.747527087	Brast09G230600			
536	Brahy.D05G0320500	0.000447728	0.001432811	0.312482011	Brast09G235400			
537	Brahy.D05G0332600	0.00390560525	0.00418130825	0.93372864675	Brast09G244800	0.000609462	0.001981205	0.30762184
