"rownames.datTraits.","Trait.gs","Trait.WUE","Trait.Ci","Trait.Tr","Trait.VPD","Trait.Tleaf","Trait.AL","Trait.AW","Trait.AW/AL","Trait.GCV","Trait.SCV","MEgrey"
"AS50C",0.117862151,0.107459162263681,0.0471799624567115,0.00353527433365537,-0.137158916189258,-0.00892428584287134,-0.0542816229024725,-0.0942421738155516,-0.107329388296422,-0.154144859428388,-0.13446169855411,-0.0149316641011568
"AS50T",0.048926906,0.097583338438689,0.345358112665152,0.208560048559647,-0.121777330765536,0.0192591877127025,-0.0355530362869979,-0.085454119238169,-0.0777949409946218,-0.149946996211386,-0.15441637415482,0.0516421741312555
"AS7C",0.289913542,0.224811640418881,0.0577111243774942,0.0210639583018105,-0.120723873266608,0.010624130520474,-0.0405971869750898,-0.0841773717294014,-0.0965786246123013,-0.135125999961665,0.0324241275589198,0.0954936726582586
"AS7T",0.243524776,0.149710939147912,0.0725061621111319,0.0712278345722864,-0.124086968548994,0.00583152173535739,-0.046022230094357,-0.0666024259921672,-0.0980112527323376,-0.143677635574837,-0.084702761550467,0.055211730861231
"AS8C",0.146920269,0.0736755888829298,-0.0688020066196709,0.0573719083050606,-0.151530510873516,-0.0255244646528485,-0.0624904921644837,-0.106187637053887,-0.116069668127101,-0.158994573874179,-0.172467157089711,-0.0755017068082607
"AS8T",0.07960816,0.126392676168828,0.332046464562546,0.829023786919755,-0.115537769932557,0.0299130217297631,-0.0314162415208498,-0.0519919813958233,-0.0692907008339538,-0.142210327247698,-0.13198449075196,0.129268857775223
"141C",0.451006705,-0.131975028639296,-0.0991725098179594,-0.090299120779423,0.00437528469665713,-0.0899877100689801,-0.0224855636244057,-0.0188663277472438,-0.015883192289851,0.115589108523402,0.0267759530932059,-0.0762285344646032
"141T",0.193174595,-0.126991894272294,-0.0760682038059187,-0.0716514763489399,0.0621752079157819,-0.0724367869005921,-0.0274629453926585,-0.0396543791859895,0.375273349926919,0.146332597891143,0.0522268010462789,-0.0185682692119938
"142C",0.432558451,-0.126092691341807,-0.0974571270043313,-0.0977155578946855,0.0100882601379861,-0.0960334099142945,-0.0281057134142734,0.0337339812599505,-0.0209798509324271,0.132197650684702,0.0992780202503901,-0.00679621008275489
"142T",0.129482432,-0.104112879070381,-0.0673523921522712,-0.0811775631190165,0.0808963277731463,-0.0736911358835605,-0.0363659405563787,0.0587900895515526,0.713387282866069,0.184677672790281,0.218276402494027,0.079522692832229
"143C",0.383927431,-0.133675254911327,-0.109703373496584,-0.0839429773148281,0.015305574696288,-0.0998197899472751,-0.0219303613194594,-0.0194208085042493,-0.0228815070833956,0.144277738510859,0.0371610968460513,-0.0158757466689985
"143T",0.163829263,-0.135774507250479,-0.0881925713983166,-0.0769205588359432,0.0521837535127354,-0.0864180355340166,-0.0525140388034699,0.0119774421399293,0.264156882923999,0.141507198250737,0.0367323654127741,-0.042578994318
"144C",0.474985862,-0.112403862440333,-0.10018726975801,-0.0876948540097611,0.045794116683293,-0.0989588482467771,-0.0338765538230302,0.0182412064953319,-0.0188006225917883,0.164780213943363,0.148172517755543,0.0420969180538346
"144T",0.219788054,-0.129151813848162,-0.101678648934236,-0.0815408326349346,0.0499448537691525,-0.0923228588786326,-0.0506524815914595,-0.0280576363541272,0.113376417167456,0.140107271860413,0.0341262096117915,-0.0210944866275107
"145C",0.391991626,-0.127243827720274,-0.0991242977353182,-0.0979178351537291,0.00785182467024927,-0.0973388597405555,-0.0286480726451906,0.0253081881214936,-0.0341671170441384,0.124602727022994,0.0673535273793605,-0.0237121275770219
"145T",0.234226896,-0.125441452340049,-0.0848387455820556,-0.0811632284044074,0.0537972054807778,-0.0870621450246904,-0.0461732718461507,-0.0479259146243127,0.170074542909694,0.137426397534915,0.0731598480405044,-0.00687629379289238
"146C",0.446807615,-0.0800444919746075,-0.0855606529420002,-0.080858935545921,0.087281887675684,-0.0924516923494091,-0.014357330138334,-0.0166462275745471,0.0188585209175002,0.207778087000995,0.369518186468965,0.109923621278897
"146T",0.243431394,-0.114111609910125,-0.103432514693485,-0.0674025687869995,0.0608646205796471,-0.091997096512845,-0.0406742697681456,-0.0387036920335396,0.108071436126394,0.148429399394748,0.120168677053993,0.0264385050696369
"147C",0.37622236,-0.138650535456467,-0.105033879900685,-0.0914747179799965,0.0108659957796175,-0.0974133538443411,-0.0361886389876408,0.0387927291879266,-0.0209208298492749,0.127784633590922,0.0107307052832522,-0.0276712041154749
"147T",0.186097726,-0.102790058166227,-0.0854324946224438,-0.0714517623727309,0.0689677396290829,-0.0911703288705896,-0.0279744883878257,-0.0494152820402263,0.0967556400472556,0.179911470025172,0.236820510970458,0.0427285686844826
"148C",0.439614519,-0.091652633030345,-0.0869618969755431,-0.0760920707928172,0.0576389881613508,-0.0873657496702345,-0.00132047135803307,0.67616500878822,0.0224599192654266,0.204388752980368,0.302385954075725,0.148162330915825
"148T",0.131987236,-0.15033794991133,-0.0887375929957671,-0.0776111477965535,-0.000996758293503742,-0.0868064148119902,-0.0258856531608846,0.361764274334914,0.0760073904690887,0.118668639729767,-0.0677809316987404,-0.0249790611708634
"149C",0.347431789,-0.144631391226988,-0.101417832055367,-0.0800006237147773,0.0284911837694466,-0.0959536449699666,-0.0211836312351629,0.212339464183668,0.0327366425437384,0.155955122917694,-0.0274023869097652,0.0141240075827287
"149T",0.107262331,-0.145627088296449,-0.0613610854705086,-0.0804214168659295,0.00421784522073363,-0.0918861896409727,-0.0213653543495489,0.0842063305062337,0.0704279581868829,0.111821955583185,-0.0533774165478162,-0.0614630623879317
"150C",0.320832887,-0.120355560715944,-0.10197511569905,-0.0813653575358195,0.0426242127464551,-0.0908403064655579,-0.0188194520728341,0.127777324674576,0.0303607595919174,0.170467855038136,0.113302154732612,0.0344049745561277
"150T",0.231696209,-0.131649330939688,-0.0881022663840366,-0.0834885086432484,0.0195553437999607,-0.0937583603478298,-0.0359149935725865,-0.00795684528598417,0.019570397244855,0.139460658040817,0.0411469516196762,-0.000913304924828174
"181C",0.244952915,-0.108768952517159,-0.0921035621087374,-0.0696687654670416,0.0623267079071922,-0.0928922368690546,-0.0275228751323322,0.409129656539332,0.0610801344722497,0.188562141265509,0.160798715454976,0.0983949529359127
"181T",0.174030762,-0.103808135511239,-0.0873458829599803,-0.0638766746809465,0.0586401980733286,-0.0940333968718683,-0.0409240340992763,0.0857185891419519,0.0421203225777333,0.171609861237774,0.198735615025185,0.0597650836058708
