nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC2AG021080	NA	blue
TRIDC2AG070570	NA	blue
TRIDC2AG051280	NA	turquoise
TRIDC4AG014120	NA	turquoise
TRIDC4AG003810	NA	turquoise
TRIDC1AG053840	NA	turquoise
TRIDC2AG070390	NA	blue
TRIDC6AG013780	NA	turquoise
TRIDC3BG066720	NA	turquoise
TRIDC7BG032110	NA	turquoise
TRIDC7AG053540	NA	turquoise
TRIDC5AG058500	NA	blue
TRIDC6BG038490	NA	turquoise
TRIDC3AG070300	NA	turquoise
TRIDC5AG034280	NA	turquoise
TRIDC5AG016980	NA	turquoise
TRIDC2BG032200	NA	blue
TRIDC5BG000030	NA	turquoise
TRIDC2AG010290	NA	turquoise
TRIDC5BG012890	NA	turquoise
TRIDC2BG004560	NA	turquoise
TRIDC1AG024190	NA	turquoise
TRIDC5AG046870	NA	turquoise
TRIDC7BG038120	NA	turquoise
TRIDC2BG020140	NA	turquoise
TRIDC2BG015670	NA	turquoise
TRIDC4AG042630	NA	turquoise
TRIDC4BG026750	NA	turquoise
TRIDC5AG000570	NA	turquoise
TRIDC6AG041800	NA	turquoise
TRIDC6BG048160	NA	turquoise
TRIDC6BG059180	NA	turquoise
TRIDC3AG031960	NA	turquoise
TRIDC6AG057620	NA	turquoise
TRIDC1BG021630	NA	turquoise
TRIDC2BG021990	NA	turquoise
TRIDC6BG051840	NA	turquoise
TRIDC2AG039930	NA	turquoise
TRIDC2BG015990	NA	turquoise
TRIDC3BG056840	NA	turquoise
TRIDC1AG052160	NA	turquoise
TRIDC3AG047850	NA	turquoise
TRIDC3AG048220	NA	turquoise
TRIDC5AG053480	NA	turquoise
TRIDC1BG045750	NA	turquoise
TRIDC6BG025640	NA	turquoise
TRIDC1BG059650	NA	turquoise
TRIDC1AG019180	NA	turquoise
TRIDC4AG036090	NA	turquoise
TRIDC5BG029290	NA	turquoise
TRIDC3BG071990	NA	turquoise
TRIDC3AG072090	NA	turquoise
TRIDC4AG030330	NA	turquoise
TRIDC7BG035140	NA	turquoise
TRIDC6AG000070	NA	blue
TRIDC2AG052590	NA	turquoise
TRIDC6BG043380	NA	turquoise
TRIDC4AG001800	NA	red
TRIDC6AG038200	NA	blue
TRIDC1BG051910	NA	turquoise
TRIDC2AG073360	NA	turquoise
TRIDC2BG033060	NA	turquoise
TRIDC4BG017780	NA	turquoise
TRIDC5AG012370	NA	turquoise
TRIDC3BG011590	NA	turquoise
