"MM.blue"	"MM.pink"	"MM.purple"	"MM.black"	"MM.brown"	"MM.magenta"	"MM.green"	"MM.red"	"MM.turquoise"	"MM.yellow"	"MM.grey"
"TRIDC6AG024880"	-0.772631300384526	-0.581052753819621	-0.483643588816645	0.247067081484162	-0.521508281560039	-0.172685752685441	0.515387879492383	0.408252181780697	0.899110378879409	0.507002457909749	0.0203525923624868
"TRIDC2AG037250"	-0.787839440544158	-0.602194359583869	-0.523098546366252	0.281802683040283	-0.561504277973824	-0.149519517285409	0.547062624146594	0.545640657463757	0.977857829844145	0.650779946284726	0.0838810818046062
"TRIDC5BG033070"	-0.819892099653543	-0.564219021249283	-0.488881421408006	0.439525067457064	-0.25790065725957	0.121855645425799	0.40956918960816	0.418180796504348	0.787255800830041	0.298208882881999	-0.227352233111624
"TRIDC7AG073560"	-0.850612727829074	-0.579223758056941	-0.48922719629272	0.763547955501829	0.112312491064017	0.530329548283534	0.374435850645637	0.279817149360715	0.657796918774515	0.207553335390609	-0.481660394550828
"TRIDC3BG061260"	0.42785598874351	0.487764786011347	0.332605338681163	0.139029387180159	0.809571120218962	0.292212412180001	-0.470227422806574	-0.464226517638244	-0.825942157089372	-0.752187810843034	-0.441480524021757
"TRIDC1AG017300"	-0.880730062314946	-0.633321950885201	-0.547723379073589	0.491682573333933	-0.353467515106966	0.0612059289345576	0.472512838780367	0.636942907486492	0.939699460228286	0.515153183853318	-0.127013616849786
"TRIDC6BG048590"	-0.18221569573242	-0.233247506211065	-0.0967085548139811	-0.00782702540467481	-0.355920292283895	-0.0702383721977207	-0.0216570448109377	-0.0023203655962491	0.401874497213518	0.458252805696843	0.239774827302188
"TRIDC1AG055310"	-0.596041933269061	-0.487568194224616	-0.382315502503397	0.116314627657127	-0.612041143501219	-0.232840744440132	0.43690716869421	0.374220594385452	0.854644442517146	0.66832292253822	0.237773924230119
"TRIDC6AG055890"	-0.403241738371871	-0.348255240786618	-0.19370317747675	0.117554495038765	-0.367415485360474	-0.132569595771258	0.527496305915325	0.231324613932624	0.582251659126106	0.396607521951959	0.185469360535376
"TRIDC7BG015290"	-0.752803867469269	-0.551029045103174	-0.483351119414959	0.22540601885028	-0.578067050499663	-0.183507616528527	0.539995912586916	0.572846286590494	0.943112482789666	0.584193519000293	0.10230123268069
"TRIDC4AG038880"	-0.722166477674331	-0.593023786303142	-0.486546104829476	0.372102350762231	-0.415023140358981	-0.0470842397394929	0.442544873203191	0.63519388940381	0.887380723975906	0.605979293535693	0.0146786433651598
