"","GeneName","PearsonCorrelation","p.Standard","q.Standard","moduleColors"
"5353","TRIDC4BG038940",-0.357508309808843,0.0141806880908152,0.00183232971094362,"blue"
"5354","TRIDC3AG018340",-0.526847762977973,0.000122453286831171,2.10875063616717e-05,"blue"
"5355","TRIDC4BG040990",-0.417818891562698,0.00351870665663326,0.000491627681116258,"blue"
"5356","TRIDC3AG046940",0.589116211183277,9.21275748075234e-06,1.90876616122749e-06,"turquoise"
"5357","TRIDC5BG010850",0.245647829218178,0.100083865361889,0.0114599482275923,"red"
"5358","TRIDC1BG003330",-0.216999358334041,0.14819174626739,0.016460240077481,"blue"
"5359","TRIDC1BG020780",-0.507352578133271,0.000245753147946631,4.05128597324397e-05,"blue"
"5360","TRIDC3AG019090",-0.0955023455115809,0.52989572795385,0.0537645162337324,"blue"
"5361","TRIDC1BG025030",-0.029403781726582,0.847061494975709,0.0822651799477627,"blue"
"5362","TRIDC2BG069790",-0.217601859542818,0.147032080767177,0.0163409165615904,"grey"
"5363","TRIDC3BG051140",-0.58606536690289,1.06118551406352e-05,2.17276395948406e-06,"blue"
"5364","TRIDC5BG006710",0.54238405248853,6.78156989892362e-05,1.21531074746229e-05,"turquoise"
"5365","TRIDC4BG052410",-0.572326623584919,1.96584668387164e-05,3.83154234045604e-06,"brown"
"5366","TRIDC7AG002890",0.549095583376713,5.1988953807448e-05,9.47116445328032e-06,"turquoise"
"5367","TRIDC7AG018990",0.420543354176351,0.00328169597832017,0.000460192981104705,"grey"
"5368","TRIDC5BG035990",0.356098013450796,0.0146038638319522,0.00188338635971266,"grey"
"5369","TRIDC3BG059270",0.373010525008164,0.0101709424925001,0.00133784228647962,"yellow"
"5370","TRIDC5BG038370",-0.520649984512105,0.000153611509035797,2.60684795132283e-05,"brown"
"5371","TRIDC6AG014590",0.800804880597793,5.24599618166501e-13,1.45910499609811e-12,"turquoise"
"5372","TRIDC5BG034470",-0.616379121924296,2.40826711803923e-06,5.61317408437872e-07,"blue"
"5373","TRIDC4BG008610",0.311848406921073,0.0343980154308074,0.00420596890607643,"turquoise"
"5374","TRIDC3AG065730",0.768741234074948,2.54918018414693e-11,3.05260612644728e-11,"turquoise"
"5375","TRIDC5BG040820",0.545927673064005,5.89851897922498e-05,1.06624769200403e-05,"turquoise"
"5376","TRIDC1AG024380",-0.485685166815334,0.000505072998592086,7.97704238305642e-05,"blue"
"5377","TRIDC1AG037820",0.45497257264856,0.00128461484335941,0.000191092620941794,"turquoise"
"5378","TRIDC4AG037960",-0.476223259642296,0.00068046207151093,0.000105077451434669,"turquoise"
"5379","TRIDC6AG030180",0.73490936714618,7.29617069952197e-10,4.59333450861298e-10,"turquoise"
"5380","TRIDC7BG014900",-0.683549643800569,4.24467410781484e-08,1.50361546857539e-08,"blue"
"5381","TRIDC5BG048660",-0.108131403146715,0.476558820621909,0.0486676403849416,"blue"
"5382","TRIDC5AG058530",-0.129428291588705,0.393379078817082,0.0408577405834753,"grey"
"5383","TRIDC4BG045280",-0.623037420025394,1.69604444592329e-06,4.07831068170825e-07,"blue"
"5384","TRIDC7AG059480",0.314927493145669,0.0325358448779508,0.00399358549447641,"red"
"5385","TRIDC7AG051470",0.783030054767317,4.98505627787878e-12,8.43053519676551e-12,"turquoise"
"5386","TRIDC1AG007190",-0.152782980269153,0.312604813575121,0.0330093177052633,"blue"
