"MM.pink"	"MM.green"	"MM.blue"	"MM.red"	"MM.turquoise"	"MM.yellow"	"MM.brown"	"MM.black"	"MM.grey"
"TRIDC5BG070520"	-0.28629375535422	-0.177848994810448	-0.0873579138999939	-0.0708615690115345	0.709089337556609	-0.402410820256172	-0.390666431831317	-0.34958286833324	-0.323830690932428
"TRIDC1BG070890"	-0.345616106799442	-0.341634627974272	-0.304172540182788	-0.240979565675676	0.779909500349002	-0.252168758233824	-0.195368936817756	-0.319242483636421	-0.284331302972138
"TRIDC4BG017010"	0.253737499205057	0.374257189821363	0.789479027884719	0.516983851119984	-0.523963681161135	-0.205675894313743	-0.583091315551066	-0.252721706877081	-0.145938153540133
"TRIDC3BG083350"	0.51127615785094	0.524943537678052	0.858060992233721	0.588541343368678	-0.41605039810152	-0.184782600106497	-0.703915007154646	-0.279646111960779	-0.278587417807306
"TRIDC7AG029070"	-0.410517065753581	-0.39008967769549	-0.434452277965027	-0.282338668099589	0.811340773925663	-0.257142979192511	-0.0489572235836614	-0.315672525635623	-0.265921625606315
"TRIDC2AG047330"	-0.154408679591516	-0.110156999854011	0.135620850224931	0.0633767319694911	0.624860926215127	-0.354645071167073	-0.565746878418842	-0.514425158070483	-0.289963375000309
"TRIDC3BG038850"	-0.2698482316386	-0.323553993457023	-0.384025987598188	-0.239702854091087	0.894978963506666	-0.168898706764741	-0.117413761182525	-0.269942689570149	-0.23429766136319
"TRIDC3BG025030"	0.125153794036086	0.404026919648599	0.649634598173769	0.21942170749073	-0.0734700115410948	-0.236924929947683	-0.67282009603018	-0.293120479802458	0.00726805406611611
"TRIDC1AG057700"	-0.24666465693818	-0.0634588257141654	-0.130649246483706	-0.0608821749158548	0.674465880465298	-0.316917411847285	-0.310270106520605	-0.347377816567282	-0.335461883543508
"TRIDC4AG070460"	-0.390207824366406	-0.189410690085881	-0.262680898426014	-0.144667205374875	-0.237723595708323	-0.225010030966921	0.263577555888829	-0.111007210456825	-0.132628366156443
"TRIDC2BG039350"	-0.316993807322082	-0.108018111823715	-0.212208728069863	-0.153397093757442	-0.557952551179969	-0.253661646276551	0.414247535784972	0.0511295553669378	0.043882277291551
"TRIDC2AG023870"	-0.360927795594234	-0.264064719824938	-0.324298955156303	-0.227831879176877	0.801654007107734	-0.283875709044211	-0.181028755960492	-0.296313646728084	-0.28126524636986
"TRIDC5BG042550"	-0.333004979744116	-0.398647032970404	-0.550673436704112	-0.357796064744643	0.879352653556432	-0.148186711720981	0.0761735736798942	-0.171399738868593	-0.194326147888635
"TRIDC5AG002350"	-0.245871458429474	-0.312560411592441	-0.403978255508043	-0.290317739654432	0.85440302908677	-0.00686434299750746	0.00100696795612096	-0.14062501081793	-0.105235460029082
"TRIDC2BG054610"	0.670425733052471	0.661999988670873	0.790322399764379	0.656360710912092	-0.530415729500761	-0.0496451359558033	-0.560813852419138	-0.145974908738764	-0.177245326575624
"TRIDC3BG012770"	-0.0380997706679566	0.279121801870399	0.099953101139923	-0.0438205432659589	-0.574593439108423	-0.0722393420932921	0.178439088511116	0.666503283510933	0.399314935332826
"TRIDC6BG012730"	0.508325942935623	0.275875222097086	0.453256259634434	0.285411386186249	0.512192976638913	-0.211723895303278	-0.769469353079023	-0.466879180991944	-0.393023631519364
"TRIDC3BG061260"	-0.402902996275485	-0.476297884239745	-0.832301558687077	-0.506153282266539	0.583428728511935	0.00480806476298629	0.502762582688589	0.134982732671459	-0.0930467804324186
"TRIDC4BG022240"	0.655213653454724	0.0610971700624401	0.360073847016852	-0.00137465304577748	0.169897949581846	0.109439832137565	-0.343291395115774	-0.163320774912633	0.220029771149898
"TRIDC7BG023490"	0.563856108221785	0.345206445110295	0.801531320468394	0.5162062163466	-0.344903920970208	-0.216061343115203	-0.701156015798885	-0.326240183025947	-0.233817477704188
"TRIDC7BG054020"	0.0254566104081802	-0.275872915362327	-0.0262143518739931	-0.0694941398773569	0.755015952220297	-0.218867083037642	-0.361799813116443	-0.403085701825786	-0.290194346433905
"TRIDC5AG059960"	-0.357536182161997	-0.347434057283228	-0.47775076373714	-0.30825928453288	0.849845618784728	-0.251684353983399	-0.0239399822034675	-0.232712771862126	-0.253322217638867
