"rownames.datTraits.","Trait.gs","Trait.WUE","Trait.Ci","Trait.Tr","Trait.VPD","Trait.Tleaf","Trait.AL","Trait.AW","Trait.AW/AL","MEgrey"
"ES11T",1.036666667,-0.0480596270554852,-0.063384259044927,-0.0733246624004625,-0.00698500677958187,0.183328003460027,-0.0185256081153085,-0.0279727711974134,-0.0371504138948685,-0.0635588545774193
"ES13C",2.12,-0.0490980571304555,-0.0783829540145587,-0.0841809563729957,-0.0589892578227016,0.146734367148343,-0.046441355666719,-0.0342614174080077,-0.0609329910484013,-0.04313322404681
"ES13T",0.5675,-0.0506581654340052,-0.0647009026788047,-0.0894957656703648,-0.0736859899812637,0.145811749769763,-0.045376055300535,-0.038687059775352,-0.0473915071540791,-0.0811768631012454
"ES14C",1.911667,-0.0299812975117473,-0.0604461530891214,-0.0434386400742063,-0.0189664703401497,0.246649878821716,-0.00468472915100759,-0.0123644489243453,-0.0398178366876979,0.000704458250086173
"ES14T",0.67933,-0.0480583923025022,-0.0358261957819097,-0.0874836041024817,-0.0744642094864194,0.156167375055746,-0.0310111216676977,-0.041983869108979,-0.0556739764168488,-0.0956643740306706
"ES19C",1.6,-0.0407650679153097,-0.0679693129179337,-0.0463749632675051,0.034832717279073,0.238197209163914,-0.0139383070168531,-0.0161489044521929,-0.0595941699592855,0.0605807399991358
"ES19T",0.5295,-0.0340773601435583,-0.0605901612738829,-0.041160729646363,-0.0502058774690022,0.250551679410238,0.000351281012384301,-0.0102950691863225,-0.0451891747635292,0.00838803765501565
"ES1C",2.5075,-0.0467628397025563,-0.0753239384935381,-0.0755824231605952,-0.020712693917715,0.171013278297606,-0.0229576627706036,-0.0276412103920371,-0.0589630374292135,-0.0542842484851074
"ES1T",1.07,-0.0363349092390957,-0.0549570189123509,-0.068697958205896,-0.040273602651241,0.192582525966182,-0.010665424371904,-0.0299550283224879,-0.0427343340950032,-0.091108323391028
"ES21C",1.47625,-0.0483131527481939,-0.0787191411358635,-0.0518340097563363,-0.0497168706179206,0.233386634995898,-0.0230114750897617,-0.0203182759247763,-0.0504200006503509,0.00747794539067381
"ES21T",1.03,-0.0584530114398964,-0.0485765219887486,-0.0836635346006062,-0.0579501147503793,0.161735676643636,-0.0313551170073973,-0.0317375205247651,-0.0464549617519376,-0.0758712552135695
"ES23C",1.64,-0.0551866873513853,-0.0850826252108616,-0.0939666512621065,-0.0671009883637357,0.131613101321572,-0.0535329734409081,-0.0376057387193248,-0.0676590594596534,-0.0541815925823556
"ES23T",1.16,-0.050561899228243,0.00472272038982314,-0.0782848690472047,-0.0560395440468266,0.157687634462329,-0.0184181750363146,-0.0276312735023463,-0.0181943523188313,-0.097555231744531
"ES6C",3.21,-0.0374504205776135,-0.0627690788074118,-0.0544071867904774,-0.0534105689841456,0.233597650903116,-0.0227779237681859,-0.0216146904531916,-0.0480555927411741,-0.023897048880139
"ES6T",1.0275,-0.0494426850303828,-0.0683414198154716,-0.0630449821201911,-0.0642035965305092,0.197583211205578,-0.0314135343636577,-0.0226470916238569,-0.0636264318527804,0.00459764538481405
"ES9C",1.505,-0.0448070957656797,-0.0844703024824148,-0.0775852741741066,-0.0595770943343821,0.16838655325992,-0.0271671347992059,-0.0270233748780266,-0.0632108701250935,-0.0263533572633149
"ES9T",0.54,-0.0356459849721857,-0.0264479135912639,-0.0821252723437624,-0.0576624644395875,0.163649901374969,-0.0206226791680824,-0.0343182451216906,-0.0306081830497752,-0.0938953508325109
"WS10C",1.8216,-0.0425961713277322,-0.0512141448392877,-0.140583900992023,-0.0635256154074674,-0.101721905505562,0.206662851278439,0.187405611995607,0.073248780069453,0.0718776608102736
"WS10T",0.744,0.0252382868179977,0.00924002858763389,-0.133884519945307,-0.0155927706853042,-0.104248033366896,0.948300682510668,0.141012364909408,0.184712334228331,0.107587623935351
"WS1C",2.016,-0.058711955717134,-0.0886188455578997,-0.165078859428979,-0.0862604227068466,-0.126465931391415,-0.0225602820747825,0.198023848930256,-0.023934785410156,0.0490548286156861
"WS1T",0.9774,-0.0595243471247373,-0.060761719391359,-0.147252238489622,-0.0853004227691167,-0.107677705432316,0.00985424767322583,0.192539531852829,0.185856746992048,0.0983374163040191
"WS3C",1.3782,-0.0608467607973553,-0.0853005033997451,-0.161431579094618,-0.0903798124700889,-0.120498113862398,-0.0137002176896033,0.243957162826629,-0.0268327290379697,0.0169730824437733
"WS3T",1.0134,-0.0728894965525413,-0.0873489013325132,-0.162694216061313,-0.103947449600328,-0.122255940622393,-0.00462244782266985,0.200411186273581,-0.014441841098206,0.012736738406255
"WS4C",2.07,-0.0805576524057818,-0.105108616118924,-0.152245473931731,-0.104830168961301,-0.112557999398129,-0.0590268366730641,0.275537474807738,-0.0698077134626506,0.0608223275757783
"WS4T",1.359,-0.0577368489017744,-0.0333358326763791,-0.150962094253967,-0.0981762271294545,-0.11052670533146,0.00386160323600114,0.220245877812345,0.356247075587473,0.0913232676945694
"WS6C",2.133,-0.0685706257116877,-0.0789405244803301,-0.153598347414612,-0.0916689145473659,-0.113378726120791,-0.00811159197630825,0.31452521996698,0.00472527042947629,0.0378636454531141
"WS6T",1.1592,-0.0578249384198783,-0.0482312032812992,-0.16855557679711,-0.0987354504997532,-0.129493942475465,-0.0254395906813143,0.196945522521001,0.188464680628848,-0.00855541135473416
"WS8C",1.9089,-0.0671105099773589,-0.0910128714507591,-0.160562107026049,-0.0931701930139039,-0.1223690187088,-0.0246283792588369,0.26404803940653,-0.0333482297305164,0.0304355152432651
"WS8T",1.1151,-0.0406131509999765,0.0124782588872784,-0.147996721590686,-0.082257193059251,-0.107272803829277,0.0379578124468299,0.223455444530419,0.704605422590516,0.084172078113773
"WS9C",2.4966,-0.0631239260843953,-0.086815304668623,-0.1591750697233,-0.0917026269589068,-0.120209992500215,0.0212752371575166,0.194554278669244,-0.0236198143482917,0.10451642189649
"WS9T",1.0284,-0.0491873360287986,-0.0258445006666463,-0.155693845556772,-0.0759974541076792,-0.118647545278951,0.0249632387993743,0.188603274857799,0.379515044104224,0.0672220467278242
