"","GeneName","PearsonCorrelation","p.Standard","q.Standard","moduleColors"
"7098","TRIDC2AG033460",-0.428882028893521,0.00105837903094982,0.000861610631508996,"turquoise"
"7099","TRIDC3BG067760",0.497934896719072,9.49316349314014e-05,0.000164760104274509,"blue"
"7100","TRIDC1BG065420",0.253802683347231,0.0638810816821889,0.0209104813638161,"turquoise"
"7101","TRIDC2AG023210",-0.335992281530213,0.0125456032385175,0.00545231014096705,"turquoise"
"7102","TRIDC2BG077010",-0.40501016372007,0.00215384292768555,0.00142718659234563,"turquoise"
"7103","TRIDC1BG026450",-0.463716988345506,0.000336748552527384,0.00039218782953493,"blue"
"7104","TRIDC1AG054130",0.072686369763941,0.603062475650141,0.14122534890203,"blue"
"7105","TRIDC5BG023110",0.339984020085904,0.0114519300628413,0.00506478746093419,"blue"
"7106","TRIDC7AG010450",-0.40459320475246,0.00217965261425343,0.00144223497223633,"blue"
"7107","TRIDC4BG019850",0.352619212557722,0.008510174705273,0.00399789192907513,"turquoise"
"7108","TRIDC3AG021520",-0.310266374484618,0.0219485637376347,0.00853776644674354,"turquoise"
"7109","TRIDC7BG015730",-0.235599923265061,0.0863946538628281,0.0270065642150677,"turquoise"
"7110","TRIDC1AG026200",0.0254390420263522,0.855810080497845,0.1882706977112,"turquoise"
"7111","TRIDC5AG035250",-0.248380146928589,0.070035908886924,0.0226128852023447,"brown"
"7112","TRIDC4AG036390",-0.134695166847061,0.333145597638291,0.0855760926636485,"turquoise"
"7113","TRIDC3BG078970",0.12290164261443,0.37769412682813,0.0952289130083149,"turquoise"
"7114","TRIDC5AG066810",-0.424426182341075,0.00121375822704091,0.000955263075882104,"turquoise"
"7115","TRIDC5AG042970",0.417554557900016,0.00149329966889556,0.00111087298549662,"blue"
"7116","TRIDC3BG045380",-0.368106443369573,0.0058113361782022,0.00297872890019625,"turquoise"
"7117","TRIDC1AG041180",-0.326970693474205,0.015349203404278,0.00639932932601688,"turquoise"
"7118","TRIDC2AG071560",-0.397324947120652,0.00267556627790477,0.00167815396568448,"turquoise"
"7119","TRIDC1AG048400",0.506136747536962,6.84801641650398e-05,0.000130662536336542,"turquoise"
"7120","TRIDC2BG059330",0.155295781434726,0.26353264774995,0.0702339014624731,"turquoise"
"7121","TRIDC3BG038970",-0.440355153883035,0.000736687538360399,0.000675584790672514,"turquoise"
"7122","TRIDC4AG055180",-0.321234065915604,0.0173947063828567,0.00708715362504755,"turquoise"
"7123","TRIDC4AG002360",-0.423750847512702,0.00123899950882558,0.000969045328103981,"turquoise"
"7124","TRIDC7AG001010",-0.368622797463914,0.00573592817268379,0.00294852874059854,"turquoise"
"7125","TRIDC4BG054700",-0.261966525709342,0.0554333022591305,0.0184484078942274,"turquoise"
"7126","TRIDC2BG040520",0.444913906200995,0.000635395487485626,0.000607810788153257,"blue"
"7127","TRIDC1BG027580",0.0591754059373949,0.672228694553455,0.154648561362005,"blue"
"7128","TRIDC6AG040760",-0.236110048547956,0.085689402573215,0.0268254510086099,"turquoise"
"7129","TRIDC7AG078010",-0.155183980221004,0.263882196775752,0.0703094755657556,"turquoise"
"7130","TRIDC4AG014290",0.119693623956424,0.390395172217444,0.0978869906518315,"brown"
"7131","TRIDC1BG027890",-0.380778275053943,0.00418994597584069,0.00233638198972148,"turquoise"
"7132","TRIDC1AG031780",0.0506914030055799,0.717113227698792,0.163164876938788,"blue"
"7133","TRIDC2BG060060",-0.128746874795558,0.355190747424621,0.0903459976859448,"blue"
"7134","TRIDC2AG072370",-0.410430485358412,0.00184205341405714,0.00127880200440488,"turquoise"
"7135","TRIDC4BG057990",-0.278936945537851,0.0407341369490541,0.0142635642530238,"turquoise"
"7136","TRIDC3BG083450",-0.385523924134213,0.00369349575915161,0.00212580467184364,"turquoise"
"7137","TRIDC1AG032860",-0.00792327524035104,0.954876032871745,0.205621230941321,"blue"
