nodeName	altName	nodeAttr[nodesPresent, ]
TRIDC2BG033290	NA	turquoise
TRIDC5BG059990	NA	turquoise
TRIDC3BG071990	NA	blue
TRIDC1AG057940	NA	blue
TRIDC5AG046950	NA	turquoise
TRIDC5BG072210	NA	turquoise
TRIDC2BG029530	NA	blue
TRIDC1BG005670	NA	blue
TRIDC4AG029660	NA	turquoise
TRIDC5AG038930	NA	blue
TRIDC6BG054890	NA	blue
TRIDC2AG077130	NA	turquoise
TRIDC4BG049440	NA	blue
TRIDC2BG025550	NA	blue
TRIDC5AG016290	NA	blue
TRIDC3BG045590	NA	blue
TRIDC2AG028250	NA	blue
TRIDC1BG061190	NA	blue
TRIDC1AG039150	NA	turquoise
TRIDC3AG052750	NA	turquoise
TRIDC6BG062030	NA	turquoise
TRIDC5BG038580	NA	turquoise
TRIDC7BG011710	NA	turquoise
TRIDC2BG088420	NA	blue
TRIDC3BG017400	NA	blue
TRIDC2AG020680	NA	turquoise
TRIDC3BG005760	NA	turquoise
TRIDC5BG080870	NA	blue
TRIDC7BG026810	NA	blue
TRIDC7BG022800	NA	turquoise
TRIDC1BG027010	NA	blue
TRIDC7AG053540	NA	brown
TRIDC3BG067660	NA	blue
TRIDC5BG000030	NA	turquoise
TRIDC3BG063140	NA	turquoise
TRIDC1BG032790	NA	blue
TRIDC4BG031720	NA	blue
TRIDC5AG010560	NA	turquoise
TRIDC7BG032110	NA	blue
TRIDC5AG047570	NA	blue
TRIDC2BG041750	NA	turquoise
TRIDC4BG004110	NA	turquoise
TRIDC7BG026470	NA	blue
TRIDC2AG023900	NA	blue
TRIDC1BG047280	NA	turquoise
TRIDC7BG002820	NA	turquoise
TRIDC5AG008910	NA	blue
TRIDC1BG000530	NA	blue
TRIDC1AG062290	NA	yellow
TRIDC4AG031200	NA	blue
TRIDC3AG069080	NA	brown
TRIDC6BG041950	NA	turquoise
TRIDC7BG076840	NA	blue
TRIDC2BG076730	NA	turquoise
TRIDC2AG049590	NA	turquoise
TRIDC3AG059930	NA	turquoise
TRIDC2BG071430	NA	blue
TRIDC5AG000570	NA	blue
TRIDC5BG028010	NA	blue
TRIDC2BG016210	NA	blue
TRIDC5AG004080	NA	blue
TRIDC7AG037510	NA	blue
TRIDC5BG029290	NA	blue
TRIDC4AG045690	NA	turquoise
TRIDC5AG072570	NA	blue
TRIDC4BG059340	NA	blue
TRIDC7AG046850	NA	turquoise
TRIDC3AG070300	NA	blue
TRIDC1AG033760	NA	blue
TRIDC3AG023150	NA	blue
TRIDC1AG017160	NA	turquoise
TRIDC3AG002880	NA	blue
TRIDC2BG030060	NA	blue
TRIDC6BG018440	NA	blue
TRIDC3BG039990	NA	blue
TRIDC1BG021260	NA	blue
TRIDC2BG082110	NA	turquoise
TRIDC2BG043320	NA	blue
TRIDC6AG041800	NA	turquoise
TRIDC2BG033700	NA	turquoise
TRIDC2BG046150	NA	turquoise
TRIDC2BG032200	NA	turquoise
TRIDC6AG024230	NA	turquoise
TRIDC2AG029090	NA	blue
TRIDC3BG041930	NA	blue
TRIDC6BG044510	NA	blue
TRIDC3BG012530	NA	blue
TRIDC2BG025460	NA	turquoise
TRIDC2BG043900	NA	turquoise
TRIDC6AG055360	NA	blue
TRIDC3AG040010	NA	blue
TRIDC6BG034650	NA	turquoise
TRIDC5BG051120	NA	turquoise
TRIDC2AG058960	NA	blue
TRIDC1AG019180	NA	blue
TRIDC2BG024340	NA	blue
TRIDC2BG052320	NA	blue
TRIDC5AG073820	NA	turquoise
TRIDC3AG038850	NA	turquoise
TRIDC3AG025980	NA	blue
TRIDC6BG052330	NA	turquoise
TRIDC1BG035250	NA	turquoise
TRIDC5AG044340	NA	yellow
TRIDC7BG034050	NA	turquoise
TRIDC2AG047570	NA	turquoise
TRIDC4AG031560	NA	turquoise
TRIDC7BG014190	NA	green
TRIDC4BG029320	NA	blue
TRIDC2BG076370	NA	turquoise
TRIDC7AG003550	NA	turquoise
TRIDC3AG017830	NA	blue
TRIDC1AG020660	NA	turquoise
TRIDC3AG030970	NA	turquoise
TRIDC7AG049230	NA	turquoise
TRIDC4AG041600	NA	turquoise
TRIDC4AG011100	NA	turquoise
TRIDC5BG058090	NA	turquoise
TRIDC6AG059840	NA	turquoise
TRIDC7AG036340	NA	blue
TRIDC4AG011130	NA	turquoise
TRIDC1AG038820	NA	brown
TRIDC7BG030830	NA	turquoise
TRIDC5BG025240	NA	blue
TRIDC6BG043380	NA	blue
TRIDC7BG023170	NA	blue
TRIDC2AG033190	NA	turquoise
TRIDC4AG015910	NA	turquoise
TRIDC2AG070190	NA	blue
TRIDC4BG017780	NA	blue
TRIDC1AG026470	NA	blue
TRIDC6BG053210	NA	turquoise
TRIDC4BG041600	NA	blue
TRIDC7BG019800	NA	turquoise
TRIDC7BG018040	NA	blue
TRIDC6AG048430	NA	turquoise
TRIDC1AG055310	NA	blue
TRIDC1AG033800	NA	brown
TRIDC1AG023560	NA	blue
TRIDC4AG014120	NA	blue
TRIDC7AG034490	NA	brown
TRIDC6AG025520	NA	blue
TRIDC7BG007940	NA	turquoise
TRIDC6BG039300	NA	blue
TRIDC4BG007110	NA	turquoise
TRIDC2AG040600	NA	turquoise
TRIDC6BG037750	NA	blue
TRIDC6AG020100	NA	brown
TRIDC4BG035770	NA	turquoise
TRIDC2AG070570	NA	turquoise
TRIDC6AG015880	NA	blue
TRIDC1AG038590	NA	blue
TRIDC2BG045550	NA	brown
TRIDC4BG015770	NA	blue
TRIDC3BG022470	NA	blue
TRIDC1AG020120	NA	blue
TRIDC2AG039930	NA	blue
TRIDC1BG021200	NA	turquoise
TRIDC6AG057260	NA	blue
TRIDC7AG069500	NA	blue
TRIDC3AG036420	NA	blue
TRIDC3BG040070	NA	turquoise
TRIDC6BG051730	NA	blue
TRIDC6AG013780	NA	blue
TRIDC7AG046450	NA	blue
TRIDC5BG029280	NA	blue
TRIDC3AG039630	NA	turquoise
TRIDC5AG061650	NA	blue
TRIDC6BG051280	NA	turquoise
TRIDC6BG017100	NA	blue
TRIDC4BG007910	NA	blue
TRIDC4BG026750	NA	blue
TRIDC3AG003210	NA	brown
TRIDC4BG030790	NA	blue
TRIDC5AG062530	NA	blue
TRIDC3AG026740	NA	blue
TRIDC4BG017180	NA	blue
TRIDC4BG050670	NA	turquoise
TRIDC5AG044940	NA	turquoise
TRIDC5AG036290	NA	brown
TRIDC7AG012670	NA	blue
TRIDC3BG087170	NA	turquoise
TRIDC2BG018060	NA	turquoise
TRIDC3BG078070	NA	blue
TRIDC3AG016970	NA	turquoise
TRIDC3BG011590	NA	blue
TRIDC4AG005340	NA	blue
TRIDC2AG037690	NA	blue
TRIDC2BG035440	NA	blue
TRIDC3BG056050	NA	brown
TRIDC6AG048320	NA	blue
TRIDC3BG056840	NA	blue
TRIDC3AG051250	NA	blue
TRIDC2AG052590	NA	blue
TRIDC4AG001060	NA	blue
TRIDC1BG067850	NA	turquoise
TRIDC6AG059060	NA	blue
TRIDC1AG011630	NA	turquoise
TRIDC6AG059630	NA	blue
TRIDC2BG014940	NA	blue
TRIDC4AG016610	NA	turquoise
TRIDC5BG033220	NA	turquoise
TRIDC1AG038130	NA	green
TRIDC3BG051970	NA	turquoise
TRIDC5AG061990	NA	turquoise
TRIDC2BG071490	NA	turquoise
TRIDC6BG051840	NA	turquoise
TRIDC6BG048160	NA	blue
TRIDC4AG011900	NA	turquoise
TRIDC3AG047810	NA	turquoise
TRIDC3BG082980	NA	turquoise
TRIDC1AG012080	NA	turquoise
TRIDC5BG051750	NA	turquoise
TRIDC6BG069580	NA	turquoise
TRIDC2BG082320	NA	turquoise
TRIDC4BG037200	NA	blue
TRIDC2AG025550	NA	blue
TRIDC3BG036010	NA	blue
TRIDC2AG048160	NA	blue
TRIDC2BG025880	NA	blue
TRIDC3BG026020	NA	turquoise
TRIDC4BG053220	NA	turquoise
TRIDC3AG037790	NA	blue
