"kTotal"	"kWithin"	"kOut"	"kDiff"
"TRIDC3AG022070"	1066.94484060223	1053.11908532004	13.8257552821838	1039.29333003786
"TRIDC7AG073560"	620.877959030167	602.687126201726	18.1908328284412	584.496293373284
"TRIDC7BG025210"	1183.26637062798	782.045665266486	401.220705361498	380.824959904988
"TRIDC5AG077090"	697.54019053917	633.005167014249	64.5350235249214	568.470143489327
"TRIDC6AG010890"	126.591224276425	88.0688301398442	38.5223941365807	49.5464360032635
"TRIDC3BG026230"	697.346341584693	454.239897805028	243.106443779665	211.133454025363
"TRIDC5AG057060"	67.3213378888207	59.7996901628279	7.52164772599275	52.2780424368352
"TRIDC3BG040330"	207.906897230954	198.663763987038	9.24313324391591	189.420630743122
"TRIDC4AG038880"	667.70548079706	473.187817204158	194.517663592902	278.670153611256
"TRIDC6AG038200"	667.225772282501	367.874031544494	299.351740738007	68.5222908064867
"TRIDC1AG037640"	1036.48578658854	817.894024336689	218.591762251849	599.30226208484
"TRIDC2BG048280"	524.633027584965	353.645892215067	170.987135369898	182.658756845169
"TRIDC7AG047050"	843.107465392948	776.81716032462	66.2903050683282	710.526855256292
"TRIDC2BG038440"	1034.98869857616	796.284097389517	238.704601186646	557.579496202872
"TRIDC4AG012650"	631.347927121706	571.994052755061	59.353874366644	512.640178388417
"TRIDC4BG052850"	382.291776317436	377.395664818936	4.89611149849952	372.499553320437
"TRIDC3BG035000"	165.80336336004	144.939770970314	20.8635923897251	124.076178580589
"TRIDC4BG060740"	146.955094577936	143.449791881879	3.50530269605699	139.944489185822
"TRIDC2AG066330"	52.5875854091955	8.57912980340273	44.0084556057928	-35.4293258023901
"TRIDC1AG044300"	516.644105203101	59.7365834105951	456.907521792506	-397.17093838191
"TRIDC2BG082450"	1375.24536769016	1353.01440409933	22.2309635908305	1330.7834405085
"TRIDC1BG029200"	404.444074917468	373.55975813453	30.8843167829383	342.675441351591
"TRIDC1AG016470"	168.203527670538	112.977407626143	55.2261200443943	57.7512875817491
"TRIDC3BG027260"	1048.71635052313	1013.32691267716	35.38943784597	977.937474831189
"TRIDC3BG060830"	1125.16234203321	833.971180675135	291.191161358077	542.780019317059
"TRIDC5AG036480"	927.926704884939	905.483358290432	22.4433465945065	883.040011695926
"TRIDC5BG033070"	325.844230057983	228.142253986882	97.701976071101	130.440277915781
"TRIDC3BG057790"	776.432239827427	457.439567207439	318.992672619988	138.446894587451
"TRIDC3BG063600"	1266.65725696835	1251.27595512334	15.3813018450096	1235.89465327833
"TRIDC4AG016540"	808.871707263038	463.92707883557	344.944628427468	118.982450408102
"TRIDC3BG018680"	150.718670831236	99.4341510876978	51.2845197435383	48.1496313441595
"TRIDC5BG070780"	192.953915311783	162.272047534133	30.6818677776498	131.590179756483
"TRIDC5AG037770"	836.056102920239	658.308219205508	177.747883714731	480.560335490777
"TRIDC5AG067120"	963.090087924879	890.871952173749	72.2181357511301	818.653816422619
"TRIDC6BG026340"	984.493444738206	915.263698981664	69.2297457565418	846.033953225122
"TRIDC5AG013480"	555.52174259558	418.02519064233	137.49655195325	280.52863868908
"TRIDC6BG048590"	21.0157976183733	18.5983090576342	2.41748856073918	16.180820496895
"TRIDC6BG066440"	809.349378747243	785.498567334856	23.8508114123866	761.64775592247
"TRIDC2AG026670"	1465.25570227635	1348.09221299665	117.163489279704	1230.92872371694
"TRIDC7AG004740"	904.170707753922	789.795818148746	114.374889605176	675.420928543571
"TRIDC4BG033910"	921.867463530719	857.650369978351	64.2170935523685	793.433276425982
"TRIDC1BG014180"	1008.94784443587	888.798856424192	120.148988011677	768.649868412515
"TRIDC3BG087220"	137.45878758221	90.7322176061786	46.7265699760311	44.0056476301475
