genotype	aw	slope	species	treat	group	color
150C	2.363487	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS1	2.363818	ES	T.dicoccoides	drought	Td(EST)	EST
WS4	2.363818	ES	T.dicoccoides	drought	Td(EST)	EST
WT7	2.363818	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
145C	2.364251	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
124T	2.364251	ES	H.spontaneum	drought	Hs(EST)	EST
142T	2.364251	AS	H.spontaneum	drought	Hs(AST)	AST
120C	2.36753	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	2.36753	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
149C	2.36753	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150C	2.36753	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
120T	2.36753	ES	H.spontaneum	drought	Hs(EST)	EST
150T	2.36753	AS	H.spontaneum	drought	Hs(AST)	AST
WS6	2.375889	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
147C	2.37962	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS4	2.383902	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	2.383902	ES	T.dicoccoides	drought	Td(EST)	EST
WS8	2.383902	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	2.383902	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS10	2.383902	ES	T.dicoccoides	drought	Td(EST)	EST
WS3	2.383902	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
145C	2.384338	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
126T	2.384338	ES	H.spontaneum	drought	Hs(EST)	EST
146T	2.384338	AS	H.spontaneum	drought	Hs(AST)	AST
126C	2.384348	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
115C	2.387645	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	2.387645	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35T	2.387645	ES	H.spontaneum	drought	Hs(EST)	EST
142C	2.41218	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	2.41218	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	2.41218	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145C	2.41218	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
142T	2.41218	AS	H.spontaneum	drought	Hs(AST)	AST
119C	2.415525	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
150C	2.415525	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	2.415525	ES	H.spontaneum	drought	Hs(EST)	EST
121T	2.415525	ES	H.spontaneum	drought	Hs(EST)	EST
149T	2.415525	AS	H.spontaneum	drought	Hs(AST)	AST
121C	2.446999	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
181C	2.446999	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS4	2.447063	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
145C	2.447511	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145C	2.447511	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
142T	2.447511	AS	H.spontaneum	drought	Hs(AST)	AST
121C	2.450905	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS6	2.458725	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
143C	2.459175	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
181C	2.462586	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119C	2.474211	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	2.474211	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS10	2.47634	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	2.485723	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	2.485723	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.485723	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
144C	2.486178	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
124T	2.486178	ES	H.spontaneum	drought	Hs(EST)	EST
141T	2.486178	AS	H.spontaneum	drought	Hs(AST)	AST
WS6	2.489556	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	2.489556	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	2.489556	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	2.489556	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
114C	2.489627	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	2.489627	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	2.489627	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120T	2.489627	ES	H.spontaneum	drought	Hs(EST)	EST
148T	2.489627	AS	H.spontaneum	drought	Hs(AST)	AST
142T	2.490012	AS	H.spontaneum	drought	Hs(AST)	AST
126C	2.490022	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	2.493466	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
150C	2.493466	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
120T	2.493466	ES	H.spontaneum	drought	Hs(EST)	EST
121T	2.493466	ES	H.spontaneum	drought	Hs(EST)	EST
123T	2.493466	ES	H.spontaneum	drought	Hs(EST)	EST
149T	2.493466	AS	H.spontaneum	drought	Hs(AST)	AST
WT7	2.50102	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
144C	2.501478	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145C	2.501478	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
122T	2.504947	ES	H.spontaneum	drought	Hs(EST)	EST
150T	2.504947	AS	H.spontaneum	drought	Hs(AST)	AST
WS1	2.520011	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	2.520011	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.520011	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT6	2.520011	AS	T.dicoccoides	drought	Td(AST)	AST
145C	2.520472	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114C	2.523968	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	2.523968	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
149C	2.523968	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
121T	2.523968	ES	H.spontaneum	drought	Hs(EST)	EST
150T	2.523968	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	2.535101	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	2.535101	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS1	2.538859	ES	T.dicoccoides	drought	Td(EST)	EST
WT7	2.538859	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
141T	2.539324	AS	H.spontaneum	drought	Hs(AST)	AST
142T	2.539324	AS	H.spontaneum	drought	Hs(AST)	AST
121C	2.542846	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	2.542846	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	2.542846	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
181C	2.542846	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
123T	2.542846	ES	H.spontaneum	drought	Hs(EST)	EST
123T	2.542846	ES	H.spontaneum	drought	Hs(EST)	EST
145C	2.546826	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
126C	2.546835	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	2.550358	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
147C	2.550358	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148C	2.550358	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149T	2.550358	AS	H.spontaneum	drought	Hs(AST)	AST
124C	2.580313	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
142T	2.580313	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	2.594583	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	2.605585	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS8	2.620182	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
147C	2.624297	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114C	2.627939	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	2.627939	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.627939	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	2.627939	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
 118C	2.631576	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.631576	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
150C	2.631576	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150T	2.631576	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	2.638315	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	2.638315	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.638315	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
146T	2.638798	AS	H.spontaneum	drought	Hs(AST)	AST
126C	2.638808	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.642458	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	2.642458	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148C	2.642458	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150C	2.642458	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	2.642458	ES	H.spontaneum	drought	Hs(EST)	EST
149T	2.642458	AS	H.spontaneum	drought	Hs(AST)	AST
149T	2.642458	AS	H.spontaneum	drought	Hs(AST)	AST
WS1	2.656325	ES	T.dicoccoides	drought	Td(EST)	EST
WS4	2.656325	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	2.656325	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
146C	2.656811	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119C	2.660496	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.660496	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	2.660496	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
122T	2.660496	ES	H.spontaneum	drought	Hs(EST)	EST
122T	2.660496	ES	H.spontaneum	drought	Hs(EST)	EST
WS8	2.667072	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.667072	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS10	2.6671	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS1	2.681334	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.681334	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
121C	2.685545	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	2.685545	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WT7	2.713151	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
146C	2.713647	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
142T	2.713647	AS	H.spontaneum	drought	Hs(AST)	AST
142T	2.713647	AS	H.spontaneum	drought	Hs(AST)	AST
148C	2.717411	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149T	2.717411	AS	H.spontaneum	drought	Hs(AST)	AST
146T	2.720668	AS	H.spontaneum	drought	Hs(AST)	AST
119C	2.724442	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
143C	2.752042	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
146C	2.752042	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
146T	2.752042	AS	H.spontaneum	drought	Hs(AST)	AST
 118C	2.755859	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	2.755859	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS8	2.761915	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS10	2.761915	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	2.761915	AS	T.dicoccoides	drought	Td(AST)	AST
WS1	2.765365	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS4	2.765365	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.765365	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	2.765365	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
145C	2.765871	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
124T	2.765871	ES	H.spontaneum	drought	Hs(EST)	EST
114T	2.766252	ES	H.spontaneum	drought	Hs(EST)	EST
120T	2.766252	ES	H.spontaneum	drought	Hs(EST)	EST
148T	2.766252	AS	H.spontaneum	drought	Hs(AST)	AST
 118C	2.769707	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.769707	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	2.769707	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119T	2.769707	ES	H.spontaneum	drought	Hs(EST)	EST
122T	2.769707	ES	H.spontaneum	drought	Hs(EST)	EST
150T	2.769707	AS	H.spontaneum	drought	Hs(AST)	AST
143C	2.776198	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145C	2.776198	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145C	2.776198	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
142T	2.779632	AS	H.spontaneum	drought	Hs(AST)	AST
119C	2.780049	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.780049	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	2.780049	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
121T	2.780049	ES	H.spontaneum	drought	Hs(EST)	EST
121T	2.780049	ES	H.spontaneum	drought	Hs(EST)	EST
122T	2.780049	ES	H.spontaneum	drought	Hs(EST)	EST
WT6	2.792813	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
144C	2.793325	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
145C	2.793325	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
126C	2.793335	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS1	2.796226	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	2.796226	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
146C	2.796737	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35C	2.797199	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
35C	2.797199	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	2.797199	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	2.797199	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
149C	2.797199	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150C	2.797199	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS1	2.816611	ES	T.dicoccoides	drought	Td(EST)	EST
WS4	2.816611	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
150C	2.821034	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35T	2.821034	ES	H.spontaneum	drought	Hs(EST)	EST
141C	2.847438	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
146C	2.847438	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
142T	2.847438	AS	H.spontaneum	drought	Hs(AST)	AST
148C	2.851387	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS8	2.873586	ES	T.dicoccoides	drought	Td(EST)	EST
WT7	2.883524	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
120T	2.888052	ES	H.spontaneum	drought	Hs(EST)	EST
145T	2.900541	AS	H.spontaneum	drought	Hs(AST)	AST
WS6	2.903297	ES	T.dicoccoides	drought	Td(EST)	EST
WS9	2.903297	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
124C	2.903828	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	2.904564	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.907856	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	2.907856	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119T	2.907856	ES	H.spontaneum	drought	Hs(EST)	EST
120T	2.907856	ES	H.spontaneum	drought	Hs(EST)	EST
121T	2.907856	ES	H.spontaneum	drought	Hs(EST)	EST
121T	2.907856	ES	H.spontaneum	drought	Hs(EST)	EST
WS1	2.913133	ES	T.dicoccoides	drought	Td(EST)	EST
WS6	2.913133	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	2.913133	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	2.913133	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
124T	2.913666	ES	H.spontaneum	drought	Hs(EST)	EST
122T	2.917707	ES	H.spontaneum	drought	Hs(EST)	EST
150T	2.917707	AS	H.spontaneum	drought	Hs(AST)	AST
WS10	2.92037	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	2.926196	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
146C	2.926732	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
122T	2.930791	ES	H.spontaneum	drought	Hs(EST)	EST
35C	2.934053	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114C	2.934053	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
149C	2.934053	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150C	2.934053	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150C	2.934053	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150T	2.934053	AS	H.spontaneum	drought	Hs(AST)	AST
150T	2.934053	AS	H.spontaneum	drought	Hs(AST)	AST
150T	2.934053	AS	H.spontaneum	drought	Hs(AST)	AST
WS4	2.935956	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	2.95215	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
141C	2.95269	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS8	2.955378	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	2.955378	AS	T.dicoccoides	drought	Td(AST)	AST
120C	2.956785	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	2.969697	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
123C	2.969697	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS6	2.974673	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
143C	2.975218	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
146T	2.975218	AS	H.spontaneum	drought	Hs(AST)	AST
146T	2.975218	AS	H.spontaneum	drought	Hs(AST)	AST
WS1	2.981077	ES	T.dicoccoides	drought	Td(EST)	EST
WS6	2.981077	ES	T.dicoccoides	drought	Td(EST)	EST
120C	2.985758	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
148C	2.985758	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS6	3.016056	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	3.016056	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
146C	3.016608	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS10	3.025098	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS8	3.028676	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	3.028676	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
142C	3.02923	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS9	3.038106	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	3.038106	AS	T.dicoccoides	drought	Td(AST)	AST
WT7	3.038106	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT7	3.038106	AS	T.dicoccoides	drought	Td(AST)	AST
WS9	3.041243	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	3.041243	AS	T.dicoccoides	drought	Td(AST)	AST
 118C	3.042877	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	3.042877	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	3.042877	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	3.042877	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114T	3.042877	ES	H.spontaneum	drought	Hs(EST)	EST
121C	3.046019	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	3.046019	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
150C	3.046019	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
119T	3.046019	ES	H.spontaneum	drought	Hs(EST)	EST
WT6	3.050635	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT7	3.050635	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
145C	3.051193	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
124T	3.051193	ES	H.spontaneum	drought	Hs(EST)	EST
124T	3.051193	ES	H.spontaneum	drought	Hs(EST)	EST
126C	3.051205	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
 118C	3.055425	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	3.055425	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	3.055425	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119T	3.055425	ES	H.spontaneum	drought	Hs(EST)	EST
120T	3.055425	ES	H.spontaneum	drought	Hs(EST)	EST
WS1	3.05688	ES	T.dicoccoides	drought	Td(EST)	EST
WT7	3.05688	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WS9	3.066223	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT6	3.066223	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
122C	3.071038	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	3.071038	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	3.071038	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
150C	3.071038	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
120T	3.071038	ES	H.spontaneum	drought	Hs(EST)	EST
WS6	3.087915	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	3.087915	ES	T.dicoccoides	drought	Td(EST)	EST
WT6	3.087915	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT7	3.087915	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
124C	3.08848	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
142C	3.08848	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
124T	3.08848	ES	H.spontaneum	drought	Hs(EST)	EST
126C	3.088492	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
126C	3.088492	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
126C	3.088492	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
126C	3.088492	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
35C	3.092763	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	3.092763	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	3.092763	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149T	3.092763	AS	H.spontaneum	drought	Hs(AST)	AST
WS3	3.103316	ES	T.dicoccoides	drought	Td(EST)	EST
124C	3.103884	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119C	3.108189	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
121C	3.108189	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS6	3.115582	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
142C	3.116152	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
115C	3.120474	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WT6	3.12475	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
124C	3.149644	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
35C	3.154012	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	3.154012	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
148C	3.154012	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS6	3.155117	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
121C	3.160072	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122T	3.160072	ES	H.spontaneum	drought	Hs(EST)	EST
WS10	3.171263	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	3.176202	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
144C	3.176783	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WS4	3.179203	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS6	3.179203	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	3.179203	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
143C	3.179785	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
144C	3.179785	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
124T	3.179785	ES	H.spontaneum	drought	Hs(EST)	EST
150C	3.181189	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114C	3.184195	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	3.184195	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	3.184195	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS9	3.188188	ES	T.dicoccoides	drought	Td(EST)	EST
WT7	3.188188	AS	T.dicoccoides	drought	Td(AST)	AST
143C	3.188771	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
143C	3.188771	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
115C	3.193194	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	3.193194	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	3.193194	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
149C	3.193194	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WT6	3.203107	AS	T.dicoccoides	drought	Td(AST)	AST
144C	3.203693	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114C	3.208137	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119T	3.208137	ES	H.spontaneum	drought	Hs(EST)	EST
123C	3.217069	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS6	3.220918	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS10	3.220918	ES	T.dicoccoides	drought	Td(EST)	EST
WS1	3.223878	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS9	3.223878	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WS3	3.223878	ES	T.dicoccoides	drought	Td(EST)	EST
143C	3.224468	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35C	3.22894	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
147C	3.22894	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
121T	3.22894	ES	H.spontaneum	drought	Hs(EST)	EST
119C	3.237815	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
122C	3.240768	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
WS8	3.250388	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
144C	3.250983	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
147C	3.255492	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114T	3.255492	ES	H.spontaneum	drought	Hs(EST)	EST
143C	3.259773	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
WT7	3.282498	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
141C	3.283099	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
141C	3.283099	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
142C	3.283099	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
35C	3.287653	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
114T	3.287653	ES	H.spontaneum	drought	Hs(EST)	EST
WS10	3.299564	ES	T.dicoccoides	well-watered	Td(ESC)	ESC
WT7	3.314298	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
WT7	3.317174	AS	T.dicoccoides	well-watered	Td(ASC)	ASC
145C	3.317781	AS	H.spontaneum	well-watered	Hs(ASC)	ASC
114C	3.319502	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
120C	3.319502	ES	H.spontaneum	well-watered	Hs(ESC)	ESC
119T	3.319502	ES	H.spontaneum	drought	Hs(EST)	EST
